Id,Song Name,Artist id,Artist,Album Name,Release Date,Popularity,0,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,Artist_followers,Genre
296nXCOv97WJNRWzIBQnoj,FEARLESS,4SpbR6yFEvexJuaBpgAU5p,LE SSERAFIM,FEARLESS,2022-05-02,81,,0.0508,https://api.spotify.com/v1/audio-analysis/296nXCOv97WJNRWzIBQnoj,0.863,168437.0,0.62,296nXCOv97WJNRWzIBQnoj,0.00324,7.0,0.129,-7.167,1.0,0.135,103.971,4.0,https://api.spotify.com/v1/tracks/296nXCOv97WJNRWzIBQnoj,audio_features,spotify:track:296nXCOv97WJNRWzIBQnoj,0.432,939735,[]
6ug9fUi5oLLgQgOF1G8WkM,California Breeze,5f7VJjfbwm532GiveGC0ZK,Lil Baby,It's Only Me,2022-10-14,81,,0.00361,https://api.spotify.com/v1/audio-analysis/6ug9fUi5oLLgQgOF1G8WkM,0.738,177789.0,0.666,6ug9fUi5oLLgQgOF1G8WkM,0.0,5.0,0.107,-6.97,0.0,0.455,161.734,4.0,https://api.spotify.com/v1/tracks/6ug9fUi5oLLgQgOF1G8WkM,audio_features,spotify:track:6ug9fUi5oLLgQgOF1G8WkM,0.215,12171480,"['atl hip hop', 'atl trap', 'rap', 'trap']"
2SLwbpExuoBDZBpjfefCtV,Out of Time,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,Dawn FM,2022-01-06,81,,0.255,https://api.spotify.com/v1/audio-analysis/2SLwbpExuoBDZBpjfefCtV,0.65,214194.0,0.76,2SLwbpExuoBDZBpjfefCtV,0.0,0.0,0.339,-4.422,0.0,0.0446,93.057,4.0,https://api.spotify.com/v1/tracks/2SLwbpExuoBDZBpjfefCtV,audio_features,spotify:track:2SLwbpExuoBDZBpjfefCtV,0.838,53005100,"['canadian contemporary r&b', 'canadian pop', 'pop']"
2WzAAerBvZvvFXgUpSwHZ9,MIDNIGHT,13itspgSHkUbOq03AhIyjS,PLAYAMANE,MIDNIGHT,2022-02-13,81,,0.0053,https://api.spotify.com/v1/audio-analysis/2WzAAerBvZvvFXgUpSwHZ9,0.633,121972.0,0.433,2WzAAerBvZvvFXgUpSwHZ9,0.28,1.0,0.145,-8.833,1.0,0.229,122.088,4.0,https://api.spotify.com/v1/tracks/2WzAAerBvZvvFXgUpSwHZ9,audio_features,spotify:track:2WzAAerBvZvvFXgUpSwHZ9,0.373,88893,['drift phonk']
31bsuKDOzFGzBAoXxtnAJm,I Guess It’s Fuck Me,3TVXtAsR1Inumwj472S9r4,Drake,Her Loss,2022-11-04,81,,0.499,https://api.spotify.com/v1/audio-analysis/31bsuKDOzFGzBAoXxtnAJm,0.385,263988.0,0.34,31bsuKDOzFGzBAoXxtnAJm,1.2e-05,7.0,0.196,-11.754,1.0,0.051,83.947,4.0,https://api.spotify.com/v1/tracks/31bsuKDOzFGzBAoXxtnAJm,audio_features,spotify:track:31bsuKDOzFGzBAoXxtnAJm,0.0398,69088297,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
6jjYDGxVJsWS0a5wlVF5vS,Butter,3Nrfpe0tUJi4K4DXYWgMUX,BTS,Proof,2022-06-10,81,,0.00323,https://api.spotify.com/v1/audio-analysis/6jjYDGxVJsWS0a5wlVF5vS,0.759,164952.0,0.459,6jjYDGxVJsWS0a5wlVF5vS,0.0,8.0,0.0788,-5.187,1.0,0.0948,109.997,4.0,https://api.spotify.com/v1/tracks/6jjYDGxVJsWS0a5wlVF5vS,audio_features,spotify:track:6jjYDGxVJsWS0a5wlVF5vS,0.695,57849048,"['k-pop', 'k-pop boy group']"
0wihfILRNOwE2156Shezc8,Agosto,4q3ewBCX7sLwd24euuV69X,Bad Bunny,Un Verano Sin Ti,2022-05-06,81,,0.0929,https://api.spotify.com/v1/audio-analysis/0wihfILRNOwE2156Shezc8,0.849,139041.0,0.584,0wihfILRNOwE2156Shezc8,6.18e-06,1.0,0.492,-8.195,0.0,0.115,115.018,4.0,https://api.spotify.com/v1/tracks/0wihfILRNOwE2156Shezc8,audio_features,spotify:track:0wihfILRNOwE2156Shezc8,0.724,59583011,"['reggaeton', 'trap latino']"
1mw0RgNXIpYRyyCdBQbLgA,Love Of My Life,6KImCVD70vtIoJWnq6nGn3,Harry Styles,Harry's House,2022-05-20,81,,0.669,https://api.spotify.com/v1/audio-analysis/1mw0RgNXIpYRyyCdBQbLgA,0.555,191638.0,0.536,1mw0RgNXIpYRyyCdBQbLgA,0.0,7.0,0.0623,-8.233,1.0,0.0452,118.057,4.0,https://api.spotify.com/v1/tracks/1mw0RgNXIpYRyyCdBQbLgA,audio_features,spotify:track:1mw0RgNXIpYRyyCdBQbLgA,0.203,24493873,['pop']
0rvbMTIWwMZaMC9UnubDPb,DOMINGO DE BOTE,0Q8NcsJwoCbZOHHW63su5S,Mora,PARAÍSO,2022-11-03,81,,0.121,https://api.spotify.com/v1/audio-analysis/0rvbMTIWwMZaMC9UnubDPb,0.813,190745.0,0.772,0rvbMTIWwMZaMC9UnubDPb,0.0,0.0,0.0886,-4.921,1.0,0.117,119.99,4.0,https://api.spotify.com/v1/tracks/0rvbMTIWwMZaMC9UnubDPb,audio_features,spotify:track:0rvbMTIWwMZaMC9UnubDPb,0.443,1044559,['trap latino']
4ygQ5wSuzzNRevVjup1qV2,El Gavilán,0pePYDrJGk8gqMRbXrLJC8,Luis R Conriquez,El Gavilán,2022-10-21,81,,0.144,https://api.spotify.com/v1/audio-analysis/4ygQ5wSuzzNRevVjup1qV2,0.724,175296.0,0.684,4ygQ5wSuzzNRevVjup1qV2,0.0035,11.0,0.302,-4.413,1.0,0.0705,144.117,3.0,https://api.spotify.com/v1/tracks/4ygQ5wSuzzNRevVjup1qV2,audio_features,spotify:track:4ygQ5wSuzzNRevVjup1qV2,0.729,1614179,"['corrido', 'nueva musica mexicana', 'sad sierreno']"
6HMtHNpW6YPi1hrw9tgF8P,About Damn Time,56oDRnqbIiwx4mymNEv7dS,Lizzo,Special,2022-07-15,80,,0.0974,https://api.spotify.com/v1/audio-analysis/6HMtHNpW6YPi1hrw9tgF8P,0.836,191938.0,0.743,6HMtHNpW6YPi1hrw9tgF8P,0.0,10.0,0.335,-6.305,0.0,0.0653,108.965,4.0,https://api.spotify.com/v1/tracks/6HMtHNpW6YPi1hrw9tgF8P,audio_features,spotify:track:6HMtHNpW6YPi1hrw9tgF8P,0.723,5175867,"['escape room', 'minnesota hip hop', 'pop', 'trap queen']"
63irPUP3xB74fHdw1Aw9zR,MANIAC,2dIgFjalVxs4ThymZ67YCE,Stray Kids,ODDINARY,2022-03-18,80,,0.154,https://api.spotify.com/v1/audio-analysis/63irPUP3xB74fHdw1Aw9zR,0.581,182758.0,0.8,63irPUP3xB74fHdw1Aw9zR,0.0,1.0,0.0697,-2.613,1.0,0.411,119.872,5.0,https://api.spotify.com/v1/tracks/63irPUP3xB74fHdw1Aw9zR,audio_features,spotify:track:63irPUP3xB74fHdw1Aw9zR,0.709,9617398,"['k-pop', 'k-pop boy group']"
2NWaWZZLFMcr5P4uI2KvWy,En El Radio Un Cochinero,1iXdpCz3AeLEAvzqeNodt8,Victor Cibrian,En El Radio Un Cochinero,2022-05-13,80,,0.466,https://api.spotify.com/v1/audio-analysis/2NWaWZZLFMcr5P4uI2KvWy,0.696,223431.0,0.623,2NWaWZZLFMcr5P4uI2KvWy,8.61e-06,6.0,0.0983,-8.738,0.0,0.0438,154.028,3.0,https://api.spotify.com/v1/tracks/2NWaWZZLFMcr5P4uI2KvWy,audio_features,spotify:track:2NWaWZZLFMcr5P4uI2KvWy,0.965,103860,"['corrido', 'corridos tumbados', 'nueva musica mexicana']"
1Hohk6AufHZOrrhMXZppax,ALIEN SUPERSTAR,6vWDO969PvNqNYHIOW5v0m,Beyoncé,RENAISSANCE,2022-07-29,80,,0.00453,https://api.spotify.com/v1/audio-analysis/1Hohk6AufHZOrrhMXZppax,0.545,215460.0,0.641,1Hohk6AufHZOrrhMXZppax,6.59e-05,10.0,0.171,-6.398,0.0,0.0998,121.892,4.0,https://api.spotify.com/v1/tracks/1Hohk6AufHZOrrhMXZppax,audio_features,spotify:track:1Hohk6AufHZOrrhMXZppax,0.464,32748982,"['dance pop', 'pop', 'r&b']"
0U1W2LZVUX7qTm7dDpqxh6,When You're Gone,7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,When You're Gone,2022-03-31,80,,0.0248,https://api.spotify.com/v1/audio-analysis/0U1W2LZVUX7qTm7dDpqxh6,0.603,172267.0,0.691,0U1W2LZVUX7qTm7dDpqxh6,0.0,5.0,0.583,-5.805,1.0,0.0372,147.148,4.0,https://api.spotify.com/v1/tracks/0U1W2LZVUX7qTm7dDpqxh6,audio_features,spotify:track:0U1W2LZVUX7qTm7dDpqxh6,0.577,39919244,"['canadian pop', 'dance pop', 'pop', 'viral pop']"
7GNRUsU3M4XNDDB9xle5Dz,That That (prod. & feat. SUGA of BTS),2dd5mrQZvg6SmahdgVKDzh,PSY,PSY 9th,2022-04-29,80,,0.0299,https://api.spotify.com/v1/audio-analysis/7GNRUsU3M4XNDDB9xle5Dz,0.905,174647.0,0.962,7GNRUsU3M4XNDDB9xle5Dz,0.0,4.0,0.0272,-3.197,1.0,0.0856,129.969,4.0,https://api.spotify.com/v1/tracks/7GNRUsU3M4XNDDB9xle5Dz,audio_features,spotify:track:7GNRUsU3M4XNDDB9xle5Dz,0.906,1568887,"['k-pop', 'k-rap', 'korean old school hip hop']"
